,CaseID,W1_Q1,W1_Q2,W1_Q3,W1_Q4,W1_Q5,W1_Q6,W1_Q7,W1_Q8a,W1_Q8b,W2_Q16,ppage,ppeducat,ppethm,ppgender,ppincimp,ppstaten,Party_ID,Ideology,Panel_Tenure_Months,OCC_GA,OCC_WA,OCC_NU,OCC_CC,OCC_JA,OCC_CO,OCC_FA,OCC_RS,OCC_DR,OCC_CP,OCC_TE,FB09,fisexp1,fisexp2,censusgroup
0,4.0,Once in a while,Poor,Once in a while,Be reduced a little,50.0,50.0,50.0,100.0,,Remain the same as it is,20.0,Some college,"White, Non-Hispanic",Male,"$50,000 to $59,999",pa,Not Strong Democrat,"Moderate, middle of the road",77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15965223,1.0,1.0,Few Immigrants
10,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.0,Once in a while,Very poor,Never,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,62.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$150,000 to $174,999",nj,Leans Republican,Slightly conservative,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11701912,2.0,2.0,
30,7.0,Never,Poor,Never,Be reduced a lot,85.0,70.0,90.0,90.0,,Be reduced a lot,39.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",ga,Strong Republican,Extremely conservative,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
40,8.0,Never,Poor,,Be reduced a little,50.0,45.0,50.0,100.0,,Be reduced a little,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ne,Not Strong Republican,Conservative,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
50,9.0,Once in a while,Fair,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,33.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$75,000 to $84,999",wi,Strong Democrat,Liberal,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
60,10.0,About half the time,Fair,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Be increased a little,55.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$35,000 to $39,999",ky,Not Strong Republican,Slightly conservative,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
70,11.0,Once in a while,Fair,Once in a while,Be reduced a little,80.0,50.0,80.0,80.0,,Remain the same as it is,67.0,Some college,"White, Non-Hispanic",Female,"$40,000 to $49,999",ks,Leans Democrat,Liberal,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
80,12.0,Most of the time,Good,Most of the time,Be reduced a little,65.0,75.0,85.0,95.0,,Be reduced a little,66.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",id,Not Strong Republican,Slightly conservative,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047080446,1.0,1.0,Few Immigrants
90,13.0,Never,Fair,Once in a while,Remain the same as it is,40.0,50.0,80.0,90.0,,Be increased a little,85.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",ny,Leans Democrat,"Moderate, middle of the road",65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
100,14.0,Once in a while,Good,Once in a while,Remain the same as it is,90.0,90.0,90.0,90.0,,Remain the same as it is,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$50,000 to $59,999",ca,Leans Democrat,Slightly liberal,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11676584,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
110,15.0,Once in a while,Very poor,Once in a while,Remain the same as it is,40.0,80.0,80.0,60.0,,Remain the same as it is,48.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$150,000 to $174,999",la,Strong Democrat,Slightly liberal,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
120,16.0,Never,Very poor,Once in a while,Be reduced a lot,70.0,70.0,80.0,80.0,,Be increased a little,76.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",ca,Strong Democrat,Liberal,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Hispanic"
130,17.0,Once in a while,Fair,About half the time,Be reduced a little,60.0,60.0,80.0,90.0,,Be reduced a little,55.0,Some college,"White, Non-Hispanic",Female,"$100,000 to $124,999",nc,Leans Republican,Slightly conservative,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11711983,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
140,18.0,Once in a while,Excellent,About half the time,Be increased a little,100.0,100.0,100.0,100.0,,Be increased a little,23.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$175,000 or more",ny,Not Strong Democrat,Slightly liberal,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
150,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
160,20.0,Never,Poor,About half the time,Remain the same as it is,50.0,50.0,50.0,50.0,,Be reduced a lot,38.0,Less than high school,"White, Non-Hispanic",Male,"$5,000 to $7,499",ca,Leans Democrat,"Moderate, middle of the road",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22688544,1.0,2.0,"Many Immigrants, Majority Hispanic"
170,21.0,Never,Fair,Once in a while,Remain the same as it is,80.0,50.0,80.0,100.0,,Remain the same as it is,37.0,High school,"White, Non-Hispanic",Male,"$40,000 to $49,999",fl,Leans Democrat,Conservative,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
180,22.0,Never,Fair,Once in a while,Be reduced a little,60.0,75.0,75.0,75.0,,Be reduced a little,62.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$75,000 to $84,999",la,Strong Democrat,Liberal,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
190,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
200,24.0,Never,Poor,Never,Be reduced a lot,50.0,30.0,50.0,60.0,,Be reduced a lot,60.0,High school,"White, Non-Hispanic",Male,"$35,000 to $39,999",mn,Leans Democrat,"Moderate, middle of the road",50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2973102,1.0,1.0,Few Immigrants
210,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few Immigrants
220,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
230,27.0,Once in a while,Good,About half the time,Be reduced a lot,25.0,15.0,15.0,50.0,,Be reduced a lot,56.0,Some college,"White, Non-Hispanic",Male,"$85,000 to $99,999",oh,Not Strong Democrat,Slightly conservative,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
240,28.0,Once in a while,Good,Once in a while,Be reduced a little,75.0,60.0,75.0,75.0,,Be reduced a little,68.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$150,000 to $174,999",wa,Leans Republican,"Moderate, middle of the road",71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
250,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
260,30.0,Once in a while,Fair,About half the time,Be reduced a lot,10.0,10.0,50.0,100.0,,Be reduced a lot,51.0,High school,"White, Non-Hispanic",Male,"$50,000 to $59,999",al,Strong Republican,Conservative,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122473806,1.0,1.0,Few Immigrants
270,31.0,Never,Poor,Once in a while,Be reduced a lot,85.0,60.0,95.0,100.0,,Be reduced a lot,79.0,Less than high school,"White, Non-Hispanic",Female,"$30,000 to $34,999",sc,Not Strong Democrat,"Moderate, middle of the road",39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Hispanic"
280,32.0,Never,Fair,Never,Remain the same as it is,60.0,60.0,60.0,60.0,,Remain the same as it is,51.0,Less than high school,Hispanic,Male,"$50,000 to $59,999",tx,Leans Democrat,"Moderate, middle of the road",24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
290,33.0,Once in a while,Fair,About half the time,Be reduced a little,70.0,70.0,70.0,80.0,,Be reduced a little,20.0,Some college,"White, Non-Hispanic",Male,"$175,000 or more",ma,Leans Democrat,Slightly liberal,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.22688544,2.0,2.0,
300,34.0,Never,Poor,Once in a while,Be increased a little,80.0,70.0,90.0,90.0,,Be reduced a little,48.0,High school,"White, Non-Hispanic",Male,"Less than $5,000",az,Leans Republican,Slightly conservative,109.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Hispanic"
310,35.0,Once in a while,Fair,Once in a while,Be increased a little,100.0,100.0,100.0,100.0,,Be increased a little,76.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$60,000 to $74,999",az,Leans Democrat,Liberal,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
