CaseID	weight2	contest_no	FeatEd	FeatGender	FeatCountry	FeatReason	FeatJob	FeatExp	FeatPlans	FeatTrips	FeatLang	Chosen_Immigrant	Support_Admission	Rating_Immigrant	W1_Q1	W1_Q2	W1_Q3	W1_Q4	W1_Q5	W1_Q6	W1_Q7	W1_Q8a	W1_Q8b	W2_Q16	ppage	ppeducat	ppethm	ppgender	ppincimp	ppstaten	Party_ID	Ideology	Panel_Tenure_Months	OCC_GA	OCC_WA	OCC_NU	OCC_CC	OCC_JA	OCC_CO	OCC_FA	OCC_RS	OCC_DR	OCC_CP	OCC_TE	FB09	fisexp1	fisexp2	censusgroup
4	0.94	1	4	2	10.0	2	9.0	4	1	2.0	3	1.0	1	5	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	1	1	1	2.0	2	3.0	3	2	5.0	4	0.0	1	5	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	2	7	1	8.0	3	4.0	3	1	2.0	1	0.0	1	5	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	2	2	1	1.0	1	6.0	4	2	1.0	1	1.0	1	5	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	3	4	1	4.0	2	9.0	4	2	5.0	2	1.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	3	6	2	8.0	2	3.0	1	1	1.0	1	0.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	4	5	2	10.0	3	7.0	4	3	1.0	4	0.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	4	3	1	5.0	2	6.0	2	2	2.0	1	1.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	5	5	1	4.0	2	7.0	3	2	2.0	4	1.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
4	0.94	5	1	2	3.0	2	9.0	4	4	2.0	4	0.0	1	6	4	4	4	4	50	50	50	100		3	20	3	1	1	12	23	6	4	77	0	0	0	0	0	0	0	0	0	0	0	0.15965223	1.0	1.0	3.0
5		1																																														
5		1																																														
5		2																																														
5		2																																														
5		3																																														
5		3																																														
5		4																																														
5		4																																														
5		5																																														
5		5																																														
6	0.28	1	2	1	8.0	3	7.0	1	3	3.0	1	1.0	0	4	4	5	5	3	50	50	50	50		3	62	4	1	1	18	22	3	5	104	0	0	0	0	0	0	0	0	0	0	0	0.11701912	2.0	2.0	
